vectorize_factor,processed_rows_per_thread,blockIdx.x,threadIdx.x,threadIdx.y,cost(ms)
8,16,1,512,2,6.96008
8,16,2,256,2,6.729416
8,16,4,128,2,6.667264
8,16,8,64,2,6.630072
8,16,16,32,2,6.622416
8,16,32,16,2,6.608872
8,8,2,256,4,6.668576
8,8,4,128,4,6.587088
8,8,8,64,4,6.566928
8,8,16,32,4,6.568616
8,8,32,16,4,6.564624
8,4,4,128,8,6.57956
8,4,8,64,8,6.547304
8,4,16,32,8,6.550784
8,4,32,16,8,6.545512
8,2,8,64,16,6.54896
8,2,16,32,16,6.551168
8,2,32,16,16,6.542528
8,1,16,32,32,6.549352
8,1,32,16,32,6.543448
4,16,2,512,2,6.678344
4,16,4,256,2,6.591832
4,16,8,128,2,6.577552
4,16,16,64,2,6.577224
4,16,32,32,2,6.57732
4,16,64,16,2,6.58108
4,8,4,256,4,6.580376
4,8,8,128,4,6.546528
4,8,16,64,4,6.547288
4,8,32,32,4,6.54464
4,8,64,16,4,6.546952
4,4,8,128,8,6.542704
4,4,16,64,8,6.542832
4,4,32,32,8,6.540872
4,4,64,16,8,6.54008
4,2,16,64,16,6.543456
4,2,32,32,16,6.540312
4,2,64,16,16,6.542456
4,1,32,32,32,6.544152
4,1,64,16,32,6.550112
2,16,4,512,2,6.632072
2,16,8,256,2,6.57032
2,16,16,128,2,6.56968
2,16,32,64,2,6.567608
2,16,64,32,2,6.568464
2,16,128,16,2,6.576888
2,8,8,256,4,6.546032
2,8,16,128,4,6.54592
2,8,32,64,4,6.542832
2,8,64,32,4,6.5432
2,8,128,16,4,6.547544
2,4,16,128,8,6.54968
2,4,32,64,8,6.548224
2,4,64,32,8,6.547608
2,4,128,16,8,6.551976
2,2,32,64,16,6.544264
2,2,64,32,16,6.544696
2,2,128,16,16,6.544368
2,1,64,32,32,6.5498
2,1,128,16,32,6.564296
