vectorize_factor,processed_rows_per_thread,blockIdx.x,threadIdx.x,threadIdx.y,threadIdx.z,cost(ms)
8,16,2,256,2,2,159.669576
8,16,4,128,2,4,79.563712
8,16,4,128,2,2,91.599096
8,16,8,64,2,8,39.73428
8,16,8,64,2,4,46.298848
8,16,8,64,2,2,46.25896
8,16,16,32,2,8,47.894832
8,16,16,32,2,4,47.571312
8,16,16,32,2,2,84.232504
8,16,32,16,2,8,35.697376
8,16,32,16,2,4,63.729552
8,16,32,16,2,2,126.35772800000001
8,8,4,128,4,2,78.123728
8,8,8,64,4,4,39.614512
8,8,8,64,4,2,47.352088
8,8,16,32,4,8,39.755744
8,8,16,32,4,4,40.7482
8,8,16,32,4,2,49.467784
8,8,32,16,4,8,29.645
8,8,32,16,4,4,29.94168
8,8,32,16,4,2,48.14212
8,4,8,64,8,2,9.19456
8,4,16,32,8,4,8.800232
8,4,16,32,8,2,9.293224
8,4,32,16,8,8,6.549976
8,4,32,16,8,4,6.83968
8,4,32,16,8,2,8.083848
8,2,16,32,16,2,12.05148
8,2,32,16,16,4,9.073264
8,2,32,16,16,2,9.409544
8,1,32,16,32,2,14.583416
4,16,4,256,2,2,285.3244
4,16,8,128,2,4,142.226824
4,16,8,128,2,2,153.955224
4,16,16,64,2,8,146.536864
4,16,16,64,2,4,156.273688
4,16,16,64,2,2,173.308456
4,16,32,32,2,8,118.518672
4,16,32,32,2,4,131.817984
4,16,32,32,2,2,194.25204
4,16,64,16,2,8,132.443752
4,16,64,16,2,4,193.472416
4,16,64,16,2,2,388.385496
4,8,8,128,4,2,11.829184
4,8,16,64,4,4,11.582032
4,8,16,64,4,2,11.711744
4,8,32,32,4,8,8.298544
4,8,32,32,4,4,8.815488
4,8,32,32,4,2,10.680776
4,8,64,16,4,8,8.32248
4,8,64,16,4,4,8.885656
4,8,64,16,4,2,10.782
4,4,16,64,8,2,10.198832
4,4,32,32,8,4,7.79164
4,4,32,32,8,2,8.217432
4,4,64,16,8,8,7.743832
4,4,64,16,8,4,7.9060880000000004
4,4,64,16,8,2,8.31656
4,2,32,32,16,2,10.354888
4,2,64,16,16,4,10.07188
4,2,64,16,16,2,10.649536
4,1,64,16,32,2,11.464904
2,16,8,256,2,2,144.832408
2,16,16,128,2,4,143.560368
2,16,16,128,2,2,159.328552
2,16,32,64,2,8,107.539488
2,16,32,64,2,4,118.170424
2,16,32,64,2,2,126.70580000000001
2,16,64,32,2,8,121.210648
2,16,64,32,2,4,129.267576
2,16,64,32,2,2,238.160248
2,16,128,16,2,8,118.437904
2,16,128,16,2,4,217.51232
2,16,128,16,2,2,421.659928
2,8,16,128,4,2,19.295472
2,8,32,64,4,4,14.495208
2,8,32,64,4,2,14.906736
2,8,64,32,4,8,14.20964
2,8,64,32,4,4,14.481984
2,8,64,32,4,2,15.050176
2,8,128,16,4,8,13.129272
2,8,128,16,4,4,13.33852
2,8,128,16,4,2,13.6036
2,4,32,64,8,2,13.96396
2,4,64,32,8,4,13.619304
2,4,64,32,8,2,14.048528
2,4,128,16,8,8,12.425424
2,4,128,16,8,4,12.646064
2,4,128,16,8,2,13.048824
2,2,64,32,16,2,16.592896
2,2,128,16,16,4,14.961976
2,2,128,16,16,2,15.586992
2,1,128,16,32,2,16.00444
