vf,vi,tx,bx,cost(ms)
2,2,8,1376.0,11.036448
2,2,16,688.0,5.313416
2,2,32,344.0,2.823272
2,2,43,256.0,2.310936
2,2,64,172.0,1.584512
2,2,86,128.0,1.493392
2,2,128,86.0,1.170536
2,2,172,64.0,1.283008
2,2,256,43.0,1.092064
2,2,344,32.0,1.12384
2,2,512,21.5,2.057152
2,2,688,16.0,1.367848
2,4,8,1376.0,10.136144
2,4,16,688.0,5.051808
2,4,32,344.0,2.745904
2,4,43,256.0,2.283128
2,4,64,172.0,1.567584
2,4,86,128.0,1.476112
2,4,128,86.0,1.15528
2,4,172,64.0,1.282984
2,4,256,43.0,1.089192
2,4,344,32.0,1.130824
2,4,512,21.5,2.014184
2,4,688,16.0,1.369992
2,8,8,1376.0,9.727176
2,8,16,688.0,4.937312
2,8,32,344.0,2.712968
2,8,43,256.0,2.232616
2,8,64,172.0,1.573552
2,8,86,128.0,1.442368
2,8,128,86.0,1.21176
2,8,172,64.0,1.268064
2,8,256,43.0,1.095784
2,8,344,32.0,1.250776
2,8,512,21.5,2.039624
2,8,688,16.0,1.567008
4,2,8,688.0,6.68796
4,2,16,344.0,3.354768
4,2,32,172.0,1.815472
4,2,43,128.0,1.50604
4,2,64,86.0,1.108888
4,2,86,64.0,1.204704
4,2,128,43.0,0.96512
4,2,172,32.0,1.070088
4,2,256,21.5,1.879272
4,2,344,16.0,1.135504
4,2,512,10.75,1.884896
4,2,688,8.0,1.060416
4,4,8,688.0,6.112096
4,4,16,344.0,3.17048
4,4,32,172.0,1.764176
4,4,43,128.0,1.478496
4,4,64,86.0,1.096624
4,4,86,64.0,1.204136
4,4,128,43.0,0.962456
4,4,172,32.0,1.071272
4,4,256,21.5,1.876968
4,4,344,16.0,1.142064
4,4,512,10.75,1.86836
4,4,688,8.0,1.060744
4,8,8,688.0,5.935344
4,8,16,344.0,3.12748
4,8,32,172.0,1.748496
4,8,43,128.0,1.4886
4,8,64,86.0,1.107496
4,8,86,64.0,1.244392
4,8,128,43.0,0.9777119999999999
4,8,172,32.0,1.117256
4,8,256,21.5,1.894448
4,8,344,16.0,1.25116
4,8,512,10.75,1.90208
4,8,688,8.0,1.153648
8,2,8,344.0,7.256144
8,2,16,172.0,3.904304
8,2,32,86.0,2.099176
8,2,43,64.0,1.972736
8,2,64,43.0,1.319016
8,2,86,32.0,1.486536
8,2,128,21.5,37.10756
8,2,172,16.0,1.61904
8,2,256,10.75,36.288208
8,2,344,8.0,1.64472
8,2,512,5.375,40.563976
8,2,688,4.0,2.691472
8,4,8,344.0,6.9444
8,4,16,172.0,3.718872
8,4,32,86.0,2.0442
8,4,43,64.0,1.915744
8,4,64,43.0,1.30268
8,4,86,32.0,1.483496
8,4,128,21.5,37.157832
8,4,172,16.0,1.645616
8,4,256,10.75,36.271656
8,4,344,8.0,1.616288
8,4,512,5.375,40.39888
8,4,688,4.0,2.735392
8,8,8,344.0,6.828824
8,8,16,172.0,3.68972
8,8,32,86.0,2.0318
8,8,43,64.0,1.936496
8,8,64,43.0,1.302576
8,8,86,32.0,1.511608
8,8,128,21.5,37.153376
8,8,172,16.0,1.627072
8,8,256,10.75,36.400808
