vf,vi,tx,ty,bx,cost(ms)
2,2,16,2,128,7.00912
2,2,16,4,128,3.9069280000000006
2,2,16,8,128,2.436456
2,2,32,2,64,4.003016
2,2,32,4,64,2.50792
2,2,32,8,64,1.387456
2,2,64,2,32,2.414936
2,2,64,4,32,1.259136
2,2,64,8,32,1.017624
2,2,128,2,16,1.620576
2,2,128,4,16,1.26516
2,2,128,8,16,1.217584
2,2,256,2,8,1.249328
2,2,256,4,8,1.172848
2,2,512,2,4,2.324448
2,4,16,2,128,6.85468
2,4,16,4,128,3.80076
2,4,16,8,128,2.734528
2,4,32,2,64,4.022248
2,4,32,4,64,2.68716
2,4,32,8,64,1.4238
2,4,64,2,32,2.473912
2,4,64,4,32,1.275936
2,4,64,8,32,1.041488
2,4,128,2,16,1.622624
2,4,128,4,16,1.300456
2,4,128,8,16,1.236208
2,4,256,2,8,1.263648
2,4,256,4,8,1.191984
2,4,512,2,4,2.33756
2,8,16,2,128,6.778232
2,8,16,4,128,4.30688
2,8,16,8,128,2.736768
2,8,32,2,64,4.220976
2,8,32,4,64,2.713968
2,8,32,8,64,1.42208
2,8,64,2,32,2.518672
2,8,64,4,32,1.302312
2,8,64,8,32,1.043296
2,8,128,2,16,1.639552
2,8,128,4,16,1.314192
2,8,128,8,16,1.235
2,8,256,2,8,1.275728
2,8,256,4,8,1.20116
2,8,512,2,4,2.349824
4,2,16,2,64,4.171128
4,2,16,4,64,2.372552
4,2,16,8,64,1.504576
4,2,32,2,32,2.271232
4,2,32,4,32,1.431992
4,2,32,8,32,0.83116
4,2,64,2,16,1.855432
4,2,64,4,16,0.99796
4,2,64,8,16,0.81332
4,2,128,2,8,0.9498
4,2,128,4,8,0.754136
4,2,128,8,8,0.711104
4,2,256,2,4,1.475128
4,2,256,4,4,1.363584
4,2,512,2,2,2.69996
4,4,16,2,64,4.062592
4,4,16,4,64,2.353536
4,4,16,8,64,1.662864
4,4,32,2,32,2.239536
4,4,32,4,32,1.505896
4,4,32,8,32,0.85088
4,4,64,2,16,1.884472
4,4,64,4,16,1.009136
4,4,64,8,16,0.828848
4,4,128,2,8,0.946456
4,4,128,4,8,0.768
4,4,128,8,8,0.719288
4,4,256,2,4,1.482368
4,4,256,4,4,1.379544
4,4,512,2,2,2.705648
4,8,16,2,64,4.134208
4,8,16,4,64,2.587352
4,8,16,8,64,1.65424
4,8,32,2,32,2.364352
4,8,32,4,32,1.517096
4,8,32,8,32,0.839976
4,8,64,2,16,1.90144
4,8,64,4,16,1.01292
4,8,64,8,16,0.828824
4,8,128,2,8,0.94556
4,8,128,4,8,0.7764
4,8,128,8,8,0.719736
4,8,256,2,4,1.494384
4,8,256,4,4,1.386576
4,8,512,2,2,2.717472
8,2,16,2,32,3.651064
8,2,16,4,32,2.026224
8,2,16,8,32,1.086656
8,2,32,2,16,2.68108
8,2,32,4,16,1.371528
8,2,32,8,16,0.936552
8,2,64,2,8,1.341432
8,2,64,4,8,0.884312
8,2,64,8,8,0.756872
8,2,128,2,4,1.71416
8,2,128,4,4,1.44156
8,2,128,8,4,1.319808
8,2,256,2,2,2.844152
8,2,256,4,2,2.600384
8,2,512,2,1,5.215928
8,4,16,2,32,3.499456
8,4,16,4,32,2.040936
8,4,16,8,32,1.160448
8,4,32,2,16,2.598848
8,4,32,4,16,1.44244
8,4,32,8,16,0.97496
8,4,64,2,8,1.4122
8,4,64,4,8,0.906712
8,4,64,8,8,0.744496
8,4,128,2,4,1.73096
8,4,128,4,4,1.409888
8,4,128,8,4,1.30292
8,4,256,2,2,2.772168
8,4,256,4,2,2.546832
8,4,512,2,1,5.078752
8,8,16,2,32,3.520008
8,8,16,4,32,2.259104
8,8,16,8,32,1.174528
8,8,32,2,16,2.851024
8,8,32,4,16,1.469296
8,8,32,8,16,0.96728
8,8,64,2,8,1.410504
8,8,64,4,8,0.90892
8,8,64,8,8,0.74352
8,8,128,2,4,1.73676
8,8,128,4,4,1.417648
8,8,128,8,4,1.304856
8,8,256,2,2,2.78232
8,8,256,4,2,2.554768
8,8,512,2,1,5.081464
