vectorize_input,vectorize_output,threadIdx.x,blockIdx.x,cost(ms)
4,2,16,384,3.009816
4,2,32,192,1.712104
4,2,64,96,0.799976
4,2,128,48,0.574424
4,2,256,24,0.571592
4,2,512,12,0.570512
4,4,16,192,1.7292
4,4,32,96,0.895888
4,4,64,48,0.556808
4,4,128,24,0.564504
4,4,256,12,0.56372
4,4,512,6,0.67472
4,8,16,96,1.915416
4,8,32,48,1.041
4,8,64,24,0.9806960000000001
4,8,128,12,0.9806719999999999
4,8,256,6,1.282304
4,8,512,3,2.063488
8,2,16,384,2.941
8,2,32,192,1.684992
8,2,64,96,0.808864
8,2,128,48,0.598024
8,2,256,24,0.566144
8,2,512,12,0.567816
8,4,16,192,1.689448
8,4,32,96,0.890328
8,4,64,48,0.557064
8,4,128,24,0.57176
8,4,256,12,0.564056
8,4,512,6,0.678624
8,8,16,96,1.904864
8,8,32,48,1.03568
8,8,64,24,0.969072
8,8,128,12,0.976168
8,8,256,6,1.275648
8,8,512,3,2.071504
